Time,Country,CO2 emissions (kg per PPP $ of GDP),CO2,CO2 emissions (metric tons per capita),"from electricity and heat production, total (% of total fuel combustion)",from gaseous fuel consumption (% of total),from gaseous fuel consumption (kt) ,from liquid fuel consumption (% of total),from liquid fuel consumption (kt), from manufacturing industries and construction (% of total fuel combustion),"from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",from residential buildings and commercial and public services (% of total fuel combustion),from solid fuel consumption (% of total),from solid fuel consumption (kt),from transport (% of total fuel combustion),CO2 intensity (kg per kg of oil equivalent energy use),Pop
2000,Japan,0.358525365,1220527.947,9.622351624,44.42886685,12.32300107,150405.672,54.18412996,661332.449,20.64771652,0.263748204,12.95345414,30.17927479,368346.483,21.70621429,2.356206704,126843000
2000,Mexico,0.363229252,398382.88,4.028144635,46.8077415,20.39948454,81268.054,66.29050074,264090.006,14.70997164,1.835270563,7.282687281,6.707474227,26721.429,29.36432901,2.655973496,98899845
2000,Russian Federation,1.556994628,1557899.281,10.62712053,63.10591364,46.89850133,730631.415,21.40649605,333491.648,11.22356229,1.851148404,10.99021856,29.80442187,464322.874,12.82915711,2.51571983,146596557
2000,Saudi Arabia,0.417233076,296935.325,14.36980164,50.053289,29.72151899,88253.689,66.86014202,198531.38,22.54337724,0,1.423881997,0,0,25.97518864,3.034383735,20663843
2000,South Africa,1.090886216,378665.421,8.420829921,68.42536808,0.845414137,3201.291,8.801797352,33329.363,14.45224769,1.308331254,3.276175537,89.30304175,338159.739,12.54144237,3.472676791,44967708
2000,Turkey,0.35663817,216151.315,3.417941997,37.22917909,13.39044872,28943.631,37.87937908,81876.776,28.71695488,4.084675015,12.71119062,40.34947833,87215.928,17.2580004,2.845709842,63240194
2000,United Kingdom,0.350390578,541784.582,9.199549233,43.28312386,36.94719316,200174.196,35.79386244,193925.628,12.09248777,1.485177012,19.550993,25.35703166,137380.488,23.58629953,2.430044677,58892514
2000,United States,0.555354374,5693684.894,20.17875051,48.1109906,22.04456547,1255148.094,40.71207111,2318017.043,10.04831072,0.785625168,10.61435782,36.37299846,2070963.919,30.44089292,2.504541579,282162411
2001,Argentina,0.311547458,133720.822,3.587350317,30.26703928,48.50545714,64861.896,47.64712335,63714.125,21.40971899,5.534854836,14.41546344,0.965282729,1290.784,28.38068623,2.283631545,37275652
2001,Australia,0.612121362,324844.862,16.73336743,59.91848224,14.32054726,46519.562,24.81204705,80600.66,13.85215377,1.234495499,3.178605988,59.58052062,193544.26,21.8162625,3.072048783,19413000
2001,Brazil,0.205331499,337433.673,1.90429564,18.29223408,6.786641889,22900.415,70.77560069,238820.709,26.45297286,5.212968849,7.230568475,15.00885687,50644.937,42.80790979,1.769338507,177196054
2001,Canada,0.56525249,527926.989,17.01842806,38.19740801,31.18353512,164626.298,43.8857516,231684.727,15.0602765,1.738480599,15.94131645,22.95734439,121198.017,29.06055183,2.112424271,31020902
2001,China,0.849632614,3487566.356,2.742120813,51.22552194,1.92720184,67212.443,18.91978281,659839.98,29.24229808,2.65118574,8.563851112,69.7002738,2430843.299,8.317451506,2.952290113,1271850000
2001,France,0.223735109,377535.985,6.153060599,17.07237557,22.77888398,85998.484,62.11257345,234497.316,18.02325581,3.833405781,24.6087807,12.48798019,47146.619,36.46489894,1.449141177,61357430
2001,Germany,0.364037496,853662.932,10.3662867,45.39004534,20.28041719,173126.404,38.29189505,326883.714,11.59132725,1.344444845,21.29105187,39.22533033,334852.105,20.3831307,2.462420147,82349925
2001,India,0.426523292,1041152.975,0.968514319,55.86708204,4.188077837,43604.297,28.62868715,298068.428,20.80820132,4.530390402,8.312896312,61.84309237,643881.196,10.48253463,2.328078585,1075000085
2001,Indonesia,0.284897534,294907.474,1.375325404,36.43752734,20.7567581,61213.231,50.85673075,149980.3,22.72926083,4.322787578,12.18836565,19.96095596,58866.351,24.32570346,1.851116612,214427417
2001,Italy,0.282982139,450347.937,7.904432663,35.51397419,29.54702755,133064.429,54.76219557,246620.418,16.86901871,2.061610246,17.35466362,11.28319125,50813.619,28.20073323,2.616823545,56974100
2001,Japan,0.344500591,1203377.388,9.464308709,44.07265267,12.65068685,152235.505,52.89367511,636510.526,20.33673487,0.263516262,13.07854199,31.28313892,376454.22,22.24766991,2.361196565,127149000
2001,Mexico,0.369950353,412977.54,4.117498953,47.85008877,20.08701829,82954.874,66.78387498,275802.404,13.2795162,1.811473591,7.134931203,7.424968922,30663.454,29.92399024,2.659339943,100298153
2001,Russian Federation,1.449401864,1557506.912,10.6696034,63.02357441,47.8367739,745061.06,21.47710578,334507.407,10.6993652,1.899652759,11.11103575,28.67875574,446673.603,13.26569367,2.488018248,145976083
2001,Saudi Arabia,0.413669479,297214.017,14.01778217,50.33159839,27.36055076,81319.392,69.03184415,205172.317,21.935863,0,1.41453996,0,0,26.31799866,2.958847547,21202642
2001,South Africa,1.02122951,372042.819,8.163976697,71.82987329,1.117714894,4158.378,6.963541205,25907.355,11.5397984,1.207065441,4.04777704,90.84144022,337969.055,11.37548583,3.317305657,45571274
2001,Turkey,0.328891855,194552.685,3.03078185,41.96746453,15.74215437,30626.784,39.06889077,76009.576,23.18015008,4.491427945,12.1213781,37.46301008,72885.292,18.23957934,2.769899922,64192243
2001,United Kingdom,0.335601181,545862.286,9.233174987,43.77824252,36.35612463,198454.373,34.87887786,190390.64,12.41737312,1.43406655,19.61571498,26.82086284,146404.975,22.7564701,2.439458442,59119673
2001,United States,0.528812018,5595794.329,19.63650507,48.46052017,21.07822675,1179494.217,41.59937142,2327815.267,9.632408825,0.848685314,10.37458476,36.42298394,2038155.27,30.68362253,2.508532221,284968955
2002,Argentina,0.321012826,124714.67,3.309683688,30.09620919,50.24992649,62669.03,46.13937077,57542.564,21.56072691,5.887673711,14.44782501,0.882093502,1100.1,28.00756517,2.191388967,37681749
2002,Australia,0.604857788,341353.696,17.37045177,62.69734392,14.39390684,49134.133,26.34926091,89944.176,10.8592877,1.444084697,3.191885619,58.02144208,198058.337,21.81026332,3.118774046,19651400
2002,Brazil,0.193141619,332266.87,1.850682075,16.74268849,8.532170842,28349.577,69.67773976,231516.045,27.41481084,5.101287899,7.184062248,14.69484604,48826.105,43.55715052,1.697328657,179537520
2002,Canada,0.536747939,519335.208,16.56039221,37.64168368,32.3476247,167992.604,43.14452353,224064.701,15.13755225,1.528142316,16.45572081,22.4234593,116452.919,29.23495674,2.071633986,31360079
2002,China,0.846130467,3850269.326,3.007083197,52.62402425,1.403457977,54036.912,16.97597473,653620.748,28.17287622,2.729820147,8.108540874,72.22989434,2781045.466,8.364738513,3.05346312,1280400000
2002,France,0.212757285,375075.428,6.068664472,17.91390728,22.88921043,85851.804,61.07602362,229081.157,17.8807947,3.940397351,23.24779249,13.44980642,50446.919,37.01434879,1.436211212,61805267
