Time,Country,GDP,HCI,Pop,CO2
2007,France,2660000000000, ,64016225,369142
2007,Germany,3440000000000, ,82266372,780547
2007,India,1220000000000, ,1183209472,1407607
2007,Indonesia,432000000000, ,232374245,375545
2007,Italy,2200000000000, ,58438310,462676
2007,Japan,4520000000000, ,128001000,1252229
2007,Mexico,1050000000000, ,109170502,480520
2007,Russian Federation,1300000000000, ,142805088,1666886
2007,Saudi Arabia,416000000000, ,25184597,387778
2007,South Africa,299000000000, ,49119759,466578
2007,Turkey,676000000000, ,69581848,284658
2007,United Kingdom,3080000000000, ,61322463,528426
2007,United States,14500000000000, ,301231207,5789031
2008,Argentina,362000000000, ,40080160,189107
2008,Australia,1050000000000, ,21249200,385904
2008,Brazil,1700000000000, ,192030362,387631
2008,Canada,1550000000000, ,33247118,561029
2008,China,4590000000000, ,1324655000,7553070
2008,France,2920000000000, ,64374984,366326
2008,Germany,3750000000000, ,82110097,780565
2008,India,1200000000000, ,1200669765,1568380
2008,Indonesia,510000000000, ,235469762,416560
2008,Italy,2390000000000, ,58826731,447187
2008,Japan,5040000000000, ,128063000,1210136
2008,Mexico,1110000000000, ,110815271,493252
2008,Russian Federation,1660000000000, ,142742350,1714979
2008,Saudi Arabia,520000000000, ,25888541,430176
2008,South Africa,287000000000, ,49779471,496772
2008,Turkey,764000000000, ,70418604,283980
2008,United Kingdom,2900000000000, ,61806995,520688
2008,United States,14700000000000, ,304093966,5614111
2009,Argentina,333000000000, ,40482788,179962
2009,Australia,928000000000, ,21691700,394793
2009,Brazil,1670000000000, ,193886508,367147
2009,Canada,1370000000000, ,33628895,536764
2009,China,5100000000000, ,1331260000,8001009
2009,France,2690000000000, ,64707040,351900
2009,Germany,3420000000000, ,81902307,722263
2009,India,1340000000000, ,1217726215,1738646
2009,Indonesia,540000000000, ,238620563,446410
2009,Italy,2190000000000, ,59095365,401592
2009,Japan,5230000000000, ,128047000,1103870
2009,Mexico,900000000000, ,112463887,475951
2009,Russian Federation,1220000000000, ,142785342,1574045
2009,Saudi Arabia,429000000000, ,26630303,468965
2009,South Africa,296000000000, ,50477011,503112
2009,Turkey,645000000000, ,71321399,277845
2009,United Kingdom,2390000000000, ,62276270,471719
2009,United States,14400000000000, ,306771529,5263505
2010,Argentina,424000000000, ,40788453,187919
2010,Australia,1150000000000, ,22031750,390862
2010,Brazil,2210000000000, ,195713635,419754
2010,Canada,1610000000000, ,34004889,534671
2010,China,6090000000000, ,1337705000,8776040
2010,France,2640000000000, ,65027507,353033
2010,Germany,3420000000000, ,81776930,758860
2010,India,1680000000000, ,1234281170,1719691
2010,Indonesia,755000000000, ,241834215,428760
2010,Italy,2130000000000, ,59277417,405361
2010,Japan,5700000000000, ,128070000,1171625
2010,Mexico,1060000000000, ,114092963,464308
2010,Russian Federation,1520000000000, ,142849449,1670531
2010,Saudi Arabia,528000000000, ,27421461,518492
2010,South Africa,375000000000, ,51216964,474099
2010,Turkey,772000000000, ,72326988,298002
2010,United Kingdom,2450000000000, ,62766365,493208
2010,United States,15000000000000, ,309326085,5395532
2011,Argentina,530000000000, ,41261490,191634
2011,Australia,1400000000000, ,22340024,391819
2011,Brazil,2620000000000, ,197514534,439413
2011,Canada,1790000000000, ,34339328,537113
